ma_number	concept_id	concept_name	concept_code	mapping_type	ema_active_substance	pdf_strength	pdf_pharmaceutical_form	pdf_route_of_administration	pdf_packaging	pdf_content	pdf_pack_size	pdf_product_name	ema_name_of_medicine	ema_product_number	ema_atc_code	comment	suggestion	last_updated_date
EU/1/13/844/010	43013911	alogliptin 12.5 MG Oral Tablet	1368034	EXACT	alogliptin	12.5 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	10 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/011	43013911	alogliptin 12.5 MG Oral Tablet	1368034	EXACT	alogliptin	12.5 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	14 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/012	43013911	alogliptin 12.5 MG Oral Tablet	1368034	EXACT	alogliptin	12.5 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	28 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/013	43013911	alogliptin 12.5 MG Oral Tablet	1368034	EXACT	alogliptin	12.5 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	30 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/014	43013911	alogliptin 12.5 MG Oral Tablet	1368034	EXACT	alogliptin	12.5 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	56 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/015	43013911	alogliptin 12.5 MG Oral Tablet	1368034	EXACT	alogliptin	12.5 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	60 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/016	43013911	alogliptin 12.5 MG Oral Tablet	1368034	EXACT	alogliptin	12.5 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	90 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/017	43013911	alogliptin 12.5 MG Oral Tablet	1368034	EXACT	alogliptin	12.5 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	98 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/018	43013911	alogliptin 12.5 MG Oral Tablet	1368034	EXACT	alogliptin	12.5 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	100 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/019	43013924	alogliptin 25 MG Oral Tablet	1368006	EXACT	alogliptin	25 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	10 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/020	43013924	alogliptin 25 MG Oral Tablet	1368006	EXACT	alogliptin	25 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	14 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/021	43013924	alogliptin 25 MG Oral Tablet	1368006	EXACT	alogliptin	25 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	28 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/022	43013924	alogliptin 25 MG Oral Tablet	1368006	EXACT	alogliptin	25 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	30 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/023	43013924	alogliptin 25 MG Oral Tablet	1368006	EXACT	alogliptin	25 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	56 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/024	43013924	alogliptin 25 MG Oral Tablet	1368006	EXACT	alogliptin	25 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	60 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/025	43013924	alogliptin 25 MG Oral Tablet	1368006	EXACT	alogliptin	25 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	90 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/026	43013924	alogliptin 25 MG Oral Tablet	1368006	EXACT	alogliptin	25 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	98 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/027	43013924	alogliptin 25 MG Oral Tablet	1368006	EXACT	alogliptin	25 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	100 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/028	43013928	alogliptin 6.25 MG Oral Tablet	1368018	EXACT	alogliptin	6.25 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	84 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/029	43013911	alogliptin 12.5 MG Oral Tablet	1368034	EXACT	alogliptin	12.5 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	84 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/13/844/030	43013924	alogliptin 25 MG Oral Tablet	1368006	EXACT	alogliptin	25 mg	Film-coated tablet	Oral use	blisters (PCTFE/PVC/alu)	84 tablets		vipidia	Vipidia	EMEA/H/C/002182	A10BH04			2025-12-04
EU/1/11/715/001	42479575	Hydrocortisone 5 MG Extended Release Oral Tablet	OMOP417498	EXACT	hydrocortisone	5 mg	Modified-release tablet	Oral use	bottle (HDPE)	50 tablets		plenadren	Plenadren	EMEA/H/C/002185	H02AB09			2025-12-04
EU/1/11/715/002	42481959	Hydrocortisone 20 MG Extended Release Oral Tablet	OMOP417500	EXACT	hydrocortisone	20 mg	Modified-release tablet	Oral use	bottle (HDPE)	50 tablets		plenadren	Plenadren	EMEA/H/C/002185	H02AB09			2025-12-04
EU/1/11/715/003	42479575	Hydrocortisone 5 MG Extended Release Oral Tablet	OMOP417498	EXACT	hydrocortisone	5 mg	Modified-release tablet	Oral use	bottle (HDPE)	100 (2 x 50) tablets		plenadren	Plenadren	EMEA/H/C/002185	H02AB09			2025-12-04
EU/1/11/715/006	42481959	Hydrocortisone 20 MG Extended Release Oral Tablet	OMOP417500	EXACT	hydrocortisone	20 mg	Modified-release tablet	Oral use	bottle (HDPE)	100 (2 x 50) tablets		plenadren	Plenadren	EMEA/H/C/002185	H02AB09			2025-12-04
EU/1/13/849/001	21129224	Somatropin 2 MG Injection	OMOP274703	EXACT	somatropin	2 mg	Powder and solvent for prolonged-release suspension for injection	Subcutaneous use	powder: vial (glass); solvent: vial (glass)	powder: 2 mg; solvent: 1.5 ml	4 vials + 4 vials	Somatropin Biopartners	Somatropin Biopartners	EMEA/H/C/002196	H01AC01			2026-03-12
EU/1/13/849/002	21060571	Somatropin 4 MG Injection	OMOP274167	EXACT	somatropin	4 mg	Powder and solvent for prolonged-release suspension for injection	Subcutaneous use	powder: vial (glass); solvent: vial (glass)	powder: 4 mg; solvent: 1.5 ml	4 vials + 4 vials	Somatropin Biopartners	Somatropin Biopartners	EMEA/H/C/002196	H01AC01			2026-03-12
EU/1/13/849/003	40084092	somatropin Injectable Suspension	378972	BROAD	somatropin	7 mg	Powder and solvent for prolonged-release suspension for injection	Subcutaneous use	powder: vial (glass); solvent: vial (glass)	powder: 7 mg; solvent: 1.5 ml	4 vials + 4 vials	Somatropin Biopartners	Somatropin Biopartners	EMEA/H/C/002196	H01AC01		somatropin 7 MG Injectable Suspension	2026-03-12
EU/1/13/849/004	21031081	Somatropin 10 MG Injection	OMOP274313	EXACT	somatropin	10 mg	Powder and solvent for prolonged-release suspension for injection	Subcutaneous use	powder: vial (glass); solvent: vial (glass)	powder: 10 mg; solvent: 1.5 ml	1 vial + 1 vial	Somatropin Biopartners	Somatropin Biopartners	EMEA/H/C/002196	H01AC01			2026-03-12
EU/1/13/849/005	21031081	Somatropin 10 MG Injection	OMOP274313	EXACT	somatropin	10 mg	Powder and solvent for prolonged-release suspension for injection	Subcutaneous use	powder: vial (glass); solvent: vial (glass)	powder: 10 mg; solvent: 1.5 ml	4 vials + 4 vials	Somatropin Biopartners	Somatropin Biopartners	EMEA/H/C/002196	H01AC01			2026-03-12
EU/1/13/849/006	40084092	somatropin Injectable Suspension	378972	BROAD	somatropin	20 mg	Powder and solvent for prolonged-release suspension for injection	Subcutaneous use	powder: vial (glass); solvent: vial (glass)	powder: 20 mg; solvent: 1.5 ml	1 vial + 1 vial	Somatropin Biopartners	Somatropin Biopartners	EMEA/H/C/002196	H01AC01		somatropin 20 MG Injectable Suspension	2026-03-12
EU/1/13/849/007	40084092	somatropin Injectable Suspension	378972	BROAD	somatropin	20 mg	Powder and solvent for prolonged-release suspension for injection	Subcutaneous use	powder: vial (glass); solvent: vial (glass)	powder: 20 mg; solvent: 1.5 ml	4 vials + 4 vials	Somatropin Biopartners	Somatropin Biopartners	EMEA/H/C/002196	H01AC01		somatropin 20 MG Injectable Suspension	2026-03-12
EU/1/11/697/013	1341176	temozolomide 5 MG Oral Capsule	313211	EXACT	temozolomide	5 mg	Capsule, hard	Oral use	Blister (alu/alu)	5x1 capsules (unit dose)		temozolomide-sun	Temozolomide Sun	EMEA/H/C/002198	L01AX03			2025-12-04
EU/1/11/697/014	1341176	temozolomide 5 MG Oral Capsule	313211	EXACT	temozolomide	5 mg	Capsule, hard	Oral use	Blister (alu/alu)	20x1 capsules (unit dose)		temozolomide-sun	Temozolomide Sun	EMEA/H/C/002198	L01AX03			2025-12-04
EU/1/11/697/015	19079716	temozolomide 20 MG Oral Capsule	313209	EXACT	temozolomide	20 mg	Capsule, hard	Oral use	Blister (alu/alu)	5x1 capsules (unit dose)		temozolomide-sun	Temozolomide Sun	EMEA/H/C/002198	L01AX03			2025-12-04
EU/1/11/697/016	19079716	temozolomide 20 MG Oral Capsule	313209	EXACT	temozolomide	20 mg	Capsule, hard	Oral use	Blister (alu/alu)	20x1 capsules (unit dose)		temozolomide-sun	Temozolomide Sun	EMEA/H/C/002198	L01AX03			2025-12-04
EU/1/11/697/017	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT	temozolomide	100 mg	Capsule, hard	Oral use	Blister (alu/alu)	5x1 capsules (unit dose)		temozolomide-sun	Temozolomide Sun	EMEA/H/C/002198	L01AX03			2025-12-04
EU/1/11/697/018	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT	temozolomide	100 mg	Capsule, hard	Oral use	Blister (alu/alu)	20x1 capsules (unit dose)		temozolomide-sun	Temozolomide Sun	EMEA/H/C/002198	L01AX03			2025-12-04
EU/1/11/697/019	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT	temozolomide	140 mg	Capsule, hard	Oral use	Blister (alu/alu)	5x1 capsules (unit dose)		temozolomide-sun	Temozolomide Sun	EMEA/H/C/002198	L01AX03			2025-12-04
EU/1/11/697/020	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT	temozolomide	140 mg	Capsule, hard	Oral use	Blister (alu/alu)	20x1 capsules (unit dose)		temozolomide-sun	Temozolomide Sun	EMEA/H/C/002198	L01AX03			2025-12-04
EU/1/11/697/021	19125747	temozolomide 180 MG Oral Capsule	700885	EXACT	temozolomide	180 mg	Capsule, hard	Oral use	Blister (alu/alu)	5x1 capsules (unit dose)		temozolomide-sun	Temozolomide Sun	EMEA/H/C/002198	L01AX03			2025-12-04
EU/1/11/697/022	19125747	temozolomide 180 MG Oral Capsule	700885	EXACT	temozolomide	180 mg	Capsule, hard	Oral use	Blister (alu/alu)	20x1 capsules (unit dose)		temozolomide-sun	Temozolomide Sun	EMEA/H/C/002198	L01AX03			2025-12-04
EU/1/11/697/023	19079717	temozolomide 250 MG Oral Capsule	313210	EXACT	temozolomide	250 mg	Capsule, hard	Oral use	Blister (alu/alu)	5x1 capsules (unit dose)		temozolomide-sun	Temozolomide Sun	EMEA/H/C/002198	L01AX03			2025-12-04
EU/1/11/697/024	19079717	temozolomide 250 MG Oral Capsule	313210	EXACT	temozolomide	250 mg	Capsule, hard	Oral use	Blister (alu/alu)	20x1 capsules (unit dose)		temozolomide-sun	Temozolomide Sun	EMEA/H/C/002198	L01AX03			2025-12-04
EU/1/11/677/001	40226582	fingolimod 0.5 MG Oral Capsule [Gilenya]	1012899	EXACT	fingolimod hydrochloride 	0.5 mg	Capsule, hard	Oral use	blister (PVC/PVDC/alu), carton	7 x 1 capsules (unit dose)		gilenya	Gilenya	EMEA/H/C/002202	L04AE01			2025-12-04
EU/1/11/677/002	40226582	fingolimod 0.5 MG Oral Capsule [Gilenya]	1012899	EXACT	fingolimod hydrochloride 	0.5 mg	Capsule, hard	Oral use	blister (PVC/PVDC/alu), wallet	7 capsules		gilenya	Gilenya	EMEA/H/C/002202	L04AE01			2025-12-04
EU/1/11/677/003	40226582	fingolimod 0.5 MG Oral Capsule [Gilenya]	1012899	EXACT	fingolimod hydrochloride 	0.5 mg	Capsule, hard	Oral use	blister (PVC/PVDC/alu), wallet	28 capsules		gilenya	Gilenya	EMEA/H/C/002202	L04AE01			2025-12-04
EU/1/11/677/004	40226582	fingolimod 0.5 MG Oral Capsule [Gilenya]	1012899	EXACT	fingolimod hydrochloride 	0.5 mg	Capsule, hard	Oral use	blister (PVC/PVDC/alu), carton	84 (3 x 28 capsules) (multipack)		gilenya	Gilenya	EMEA/H/C/002202	L04AE01			2025-12-04
EU/1/11/677/005	40226582	fingolimod 0.5 MG Oral Capsule [Gilenya]	1012899	EXACT	fingolimod hydrochloride 	0.5 mg	Capsule, hard	Oral use	blister (PVC/PVDC/alu), carton	28 capsules		gilenya	Gilenya	EMEA/H/C/002202	L04AE01			2025-12-04
EU/1/11/677/006	40226582	fingolimod 0.5 MG Oral Capsule [Gilenya]	1012899	EXACT	fingolimod hydrochloride 	0.5 mg	Capsule, hard	Oral use	blister (PVC/PVDC/alu), carton	98 capsules		gilenya	Gilenya	EMEA/H/C/002202	L04AE01			2025-12-04
EU/1/11/677/007	1510451	fingolimod 0.25 MG Oral Capsule [Gilenya]	2045493	EXACT	fingolimod hydrochloride 	0.25 mg	Capsule, hard	Oral use	blister (PVC/PVDC/alu), carton	7 x 1 capsules (unit dose)		gilenya	Gilenya	EMEA/H/C/002202	L04AE01			2025-12-04
EU/1/11/677/008	1510451	fingolimod 0.25 MG Oral Capsule [Gilenya]	2045493	EXACT	fingolimod hydrochloride 	0.25 mg	Capsule, hard	Oral use	blister (PVC/PVDC/alu), carton	28 capsules		gilenya	Gilenya	EMEA/H/C/002202	L04AE01			2025-12-04
EU/1/11/677/009	1510451	fingolimod 0.25 MG Oral Capsule [Gilenya]	2045493	EXACT	fingolimod hydrochloride 	0.25 mg	Capsule, hard	Oral use	blister (PVC/PVDC/alu), carton	7 capsules		gilenya	Gilenya	EMEA/H/C/002202	L04AE01			2025-12-04
EU/1/11/677/010	40226582	fingolimod 0.5 MG Oral Capsule [Gilenya]	1012899	EXACT	fingolimod hydrochloride 	0.5 mg	Capsule, hard	Oral use	blister (PVC/PVDC/alu), carton	7 capsules		gilenya	Gilenya	EMEA/H/C/002202	L04AE01			2025-12-04
EU/1/11/740/001	40221166	aminolevulinic acid hydrochloride 0.1 MG/MG Topical Gel [Ameluz]	1806650	EXACT	5-aminolevulinic acid hydrochloride	78 mg/g	Gel	Cutaneous use	tube (alu)	2 g	1 tube	ameluz	Ameluz	EMEA/H/C/002204	L01XD04	The Aminolevulinic Acid 0.078 MG/MG Topical Gel [Ameluz] RxE concept is redundant		2025-12-04
EU/1/12/810/001	40226211	1 ML pegloticase 8 MG/ML Injection [Krystexxa]	1011657	EXACT	pegloticase	8 mg/ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	1 ml	1 vial	Krystexxa	Krystexxa	EMEA/H/C/002208	M04AX02		 	2026-02-13
EU/1/12/778/001	46221170	30 ACTUAT aclidinium bromide 0.4 MG/ACTUAT Dry Powder Inhaler	1607111	EXACT	aclidinium bromide	322 µg			stainless steel)	actuations		eklira-genuair	Eklira Genuair	EMEA/H/C/002211	R03BB			2025-12-04
EU/1/12/778/002	42873622	60 ACTUAT aclidinium bromide 0.4 MG/ACTUAT Dry Powder Inhaler	1303102	EXACT	aclidinium bromide	322 µg	Inhalation powder	Inhalation use	inhaler (plastic/ stainless steel)	1 inhaler with 60 actuations		eklira-genuair	Eklira Genuair	EMEA/H/C/002211	R03BB			2025-12-04
EU/1/12/778/003	42873622	60 ACTUAT aclidinium bromide 0.4 MG/ACTUAT Dry Powder Inhaler	1303102	EXACT	aclidinium bromide	322 µg	Inhalation powder	Inhalation use	inhaler (plastic/ stainless steel)	3 inhalers with 60 actuations		eklira-genuair	Eklira Genuair	EMEA/H/C/002211	R03BB			2025-12-04
EU/1/11/698/001	46275957	40 ML ipilimumab 5 MG/ML Injection [Yervoy]	1657007	EXACT	Ipilimumab	5 mg/ml	Concentrate for solution for infusion	Intravenous use	Vial (glass)	10 ml	1 vial	Yervoy	Yervoy	EMEA/H/C/002213	L01FX04			2025-12-04
EU/1/11/698/002	46275957	40 ML ipilimumab 5 MG/ML Injection [Yervoy]	1657007	EXACT	Ipilimumab	5 mg/ml	Concentrate for solution for infusion	Intravenous use	Vial (glass)	40 ml	1 vial	Yervoy	Yervoy	EMEA/H/C/002213	L01FX04			2025-12-04
EU/1/12/774/001	40165736	17 ML ferumoxytol 30 MG/ML Injection	860605	EXACT	Ferumoxytol	30 mg/ml	Solution for infusion	Intravenous use	Vial (gilass)	17 ml	1 vial	rienso	Rienso	EMEA/H/C/002215	B03			2025-12-04
EU/1/12/774/002	40165736	17 ML ferumoxytol 30 MG/ML Injection	860605	EXACT	Ferumoxytol	30 mg/ml	Solution for infusion	Intravenous use	Voial (glass)	17 ml	10 vials	rienso	Rienso	EMEA/H/C/002215	B03			2025-12-04
EU/1/12/774/003	40165736	17 ML ferumoxytol 30 MG/ML Injection	860605	EXACT	Ferumoxytol	30 mg/ml	Solution for infusion	Intravenous use	hVial (glass)	17 ml	2 vials	rienso	Rienso	EMEA/H/C/002215	B03			2025-12-04
EU/1/12/774/004	40165736	17 ML ferumoxytol 30 MG/ML Injection	860605	EXACT	Ferumoxytol	30 mg/ml	Solution for infusion	Intravenous use tVial	(glass)	17 ml	6 vials	rienso	Rienso	EMEA/H/C/002215	B03			2025-12-04
EU/1/12/792/001	19089150	decitabine 50 MG Injection [Dacogen]	644989	EXACT	decitabine	50 mg	Powder for concentrate for solution for infusion	Intravenous use	vial (glass)	1 vial		dacogen	Dacogen	EMEA/H/C/002221	L01BC08			2025-12-04
EU/1/12/767/001	1145522	Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine Injection	2360581	EXACT	Neisseria meningitidis group A polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group C polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group W-135 polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group Y polysaccharide conjugated to tetanus toxoid	--¹	Powder and solvent for solution for injection	Intramuscular use	powder: vial (glass); solvent: pre-filled syringe (glass)	solution: 0.5 ml	1 vial + 1 pre-filled syringe	nimenrix	Nimenrix	EMEA/H/C/002226	J07AH08			2026-03-16
EU/1/12/767/002	1145522	Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine Injection	2360581	EXACT	Neisseria meningitidis group A polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group C polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group W-135 polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group Y polysaccharide conjugated to tetanus toxoid	--¹	Powder and solvent for solution for injection	Intramuscular use	powder: vial (glass); solvent: pre-filled syringe (glass)	solution: 0.5 ml	10 vials + 10 pre-filled syringes	nimenrix	Nimenrix	EMEA/H/C/002226	J07AH08			2026-03-16
EU/1/12/767/003	1145522	Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine Injection	2360581	EXACT	Neisseria meningitidis group A polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group C polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group W-135 polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group Y polysaccharide conjugated to tetanus toxoid	--¹	Powder and solvent for solution for injection	Intramuscular use	powder: vial (glass); solvent: pre-filled syringe (glass)	solution: 0.5 ml	1 vial + 1 pre-filled syringe + 2 needles	nimenrix	Nimenrix	EMEA/H/C/002226	J07AH08			2026-03-16
EU/1/12/767/004	1145522	Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine Injection	2360581	EXACT	Neisseria meningitidis group A polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group C polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group W-135 polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group Y polysaccharide conjugated to tetanus toxoid	--¹	Powder and solvent for solution for injection	Intramuscular use	powder: vial (glass); solvent: pre-filled syringe (glass)	solution: 0.5 ml	10 vials + 10 pre-filled syringe + 20 needles	nimenrix	Nimenrix	EMEA/H/C/002226	J07AH08			2026-03-16
EU/1/12/767/008	1145522	Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine / Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine Injection	2360581	EXACT	Neisseria meningitidis group A polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group C polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group W-135 polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group Y polysaccharide conjugated to tetanus toxoid	--¹	Powder and solvent for solution for injection	Intramuscular use	powder: vial (glass); solvent: vial (glass)	solution: 0.5 ml	50 vials + 50 vials	nimenrix	Nimenrix	EMEA/H/C/002226	J07AH08			2026-03-16
EU/1/11/702/001	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT	levetiracetam	100 mg/ml	Oral solution	Oral use	bottle (glass)	300 ml	1 bottle + 1 oral syringe 10 ml	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/002	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT	levetiracetam	100 mg/ml	Oral solution	Oral use	bottle (glass)	150 ml	1 bottle + 1 oral syringe 3 ml	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/003	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT	levetiracetam	100 mg/ml	Oral solution	Oral use	bottle (glass)	150 ml	1 bottle + 1 oral syringe 1 ml	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/004	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT	levetiracetam	250 mg	Film-coated tablet	Oral use	blister (PVC/alu)		20 tablets	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/005	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT	levetiracetam	250 mg	Film-coated tablet	Oral use	blister (PVC/alu)		30 tablets	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/006	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT	levetiracetam	250 mg	Film-coated tablet	Oral use	blister (PVC/alu))		50 tablets	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/007	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT	levetiracetam	250 mg	Film-coated tablet	Oral use	blister (PVC/alu)		60 tablets	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/008	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT	levetiracetam	250 mg	Film-coated tablet	Oral use	blister (PVC/alu)		100 tablets	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/009	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT	levetiracetam	250 mg	Film-coated tablet	Oral use	blister (PVC/alu)		200 (2 x 100) tablets	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/010	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT	levetiracetam	500 mg	Film-coated tablet	Oral use	blister (PVC/alu)		10 tablets	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/011	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT	levetiracetam	500 mg	Film-coated tablet	Oral use	blister (PVC/alu)		20 tablets	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/012	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT	levetiracetam	500 mg	Film-coated tablet	Oral use	blister (PVC/alu)		30 tablets	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/013	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT	levetiracetam	500 mg	Film-coated tablet	Oral use	blister (PVC/alu)		50 tablets	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/014	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT	levetiracetam	500 mg	Film-coated tablet	Oral use	blister (PVC/alu)		60 tablets	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
EU/1/11/702/015	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT	levetiracetam	500 mg	Film-coated tablet	Oral use	blister (PVC/alu)		100 tablets	levetiracetam-ratiopharm	Levetiracetam ratiopharm	EMEA/H/C/002244	N03AX14			2025-12-04
